Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Camptothecin,CCC1(O)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O,C20H16N2O4,348.35,26,16,0.25,1,5,1,95.31,81.42,2.49,1.74,1.82,1.64,3.29,2.2,-3.49,0.114,0.000327,Soluble,-3.07,0.299,0.000858,Soluble,-5.83,0.00052,1.49E-06,Moderately soluble,High,No,Yes,Yes,No,Yes,No,Yes,-7.19,0,0,0,0,0,0.55,0,0,0,3.84
Vinblastine,COc1cc2N(C)C3C4(c2cc1C1(CC2CN(CCc5c1[nH]c1c5cccc1)CC(C2)(O)CC)C(=O)OC)CCN1C4C(C(C3(O)C(=O)OC)OC(=O)C)(CC)C=CC1,C46H58N4O9,810.97,59,15,0.59,10,11,3,232.52,154.1,4.98,3.88,2.85,2.35,4.72,3.76,-6.84,0.000117,1.44E-07,Poorly soluble,-6.81,0.000125,1.54E-07,Poorly soluble,-8.46,2.80E-06,3.45E-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.49,2,3,1,1,4,0.17,0,2,3,9.65
Cisplatin,Cl[Pt]Cl.N.N,Cl2H6N2Pt,300.05,5,0,0.59,0,11,3,21.16,6.48,4.98,3.88,2.85,2.35,4.72,3.76,-6.84,0.000117,1.44E-07,Poorly soluble,-6.81,0.000125,1.54E-07,Poorly soluble,-8.46,2.80E-06,3.45E-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.49,2,3,1,1,4,0.17,0,2,3,9.65
Cytarabine,OCC1OC(C(C1O)O)n1ccc(nc1=O)N,C9H13N3O5,243.22,17,6,0.56,2,6,4,55.85,130.83,0.32,-2.13,-2.88,-2.29,-2.25,-1.85,-0.14,178,0.732,Very soluble,-0.09,198,0.816,Very soluble,1.01,2490,10.2,Soluble,Low,No,No,No,No,No,No,No,-9.3,0,1,0,0,1,0.55,0,0,1,3.84
Docetaxel,CC(=O)OC12COC1CC(C1(C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(C(c3ccccc3)NC(=O)OC(C)(C)C)O)C(=C(C2(C)C)C(C1=O)O)C)C)O,C43H53NO14,807.88,58,12,0.56,14,14,5,205.25,224.45,3.4,2.81,2.94,1.06,3.51,2.74,-5.85,0.00115,1.42E-06,Moderately soluble,-7.18,5.33E-05,6.60E-08,Poorly soluble,-6.66,0.000176,2.18E-07,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-9.23,2,3,2,1,3,0.17,0,2,2,8.39
Methotrexate,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C,C20H22N8O5,454.44,33,16,0.25,10,9,5,118.4,210.54,1.01,-1.85,0.13,-1.13,-0.66,-0.5,-1.19,29.3,0.0644,Very soluble,-2.05,4.02,0.00886,Soluble,-3.99,0.0467,0.000103,Soluble,Low,No,No,No,No,No,No,No,-10.39,1,0,1,1,1,0.11,0,0,2,3.58
Tretinoin,CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,C20H28O2,300.44,22,0,0.45,5,2,1,95.28,37.3,3.68,6.3,5.6,4.28,5.21,5.01,-5.34,0.00137,4.55E-06,Moderately soluble,-6.87,4.03E-05,1.34E-07,Poorly soluble,-3.17,0.205,0.000684,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-3.66,1,1,0,0,1,0.85,0,2,1,4.1
Gefitinib,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,C22H24ClFN4O3,446.9,31,16,0.36,8,7,1,121.66,68.74,4.04,4.11,4.32,2.82,4.31,3.92,-5.05,0.00395,8.83E-06,Moderately soluble,-5.26,0.00246,5.50E-06,Moderately soluble,-7.94,5.14E-06,1.15E-08,Poorly soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.11,0,0,0,0,0,0.55,0,0,3,3.26
Navitoclax,Clc1ccc(cc1)C1=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(c(c2)S(=O)(=O)C(F)(F)F)NC(CSc2ccccc2)CCN2CCOCC2)CC(CC1)(C)C,C47H55ClF3N5O6S3,974.61,65,24,0.43,18,11,2,262.67,170.42,6.27,9.58,10.92,4.67,7.41,7.77,-11,9.67E-09,9.93E-12,Insoluble,-13.07,8.27E-11,8.49E-14,Insoluble,-14.6,2.44E-12,2.51E-15,Insoluble,Low,No,Yes,No,No,No,No,No,-5.44,3,4,2,2,5,0.17,0,0,3,6.88
Vorinostat,ONC(=O)CCCCCCC(=O)Nc1ccccc1,C14H20N2O3,264.32,19,6,0.43,10,3,3,73.33,78.43,1.84,1.86,2.28,1.83,1.81,1.92,-2.22,1.58,0.00597,Soluble,-3.13,0.197,0.000744,Soluble,-4.25,0.0147,5.57E-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.59,0,0,0,0,0,0.55,0,2,1,1.91
Nilotinib,Cc1ncn(c1)c1cc(NC(=O)c2ccc(c(c2)Nc2nccc(n2)c2cccnc2)C)cc(c1)C(F)(F)F,C28H22F3N7O,529.52,39,29,0.11,8,8,2,141.08,97.62,3.36,4.9,7.32,2.75,4.83,4.63,-6.23,0.00031,5.86E-07,Poorly soluble,-6.69,0.000109,2.06E-07,Poorly soluble,-10.86,7.29E-09,1.38E-11,Insoluble,Low,No,No,No,Yes,Yes,Yes,Yes,-6.05,1,3,0,1,0,0.55,0,0,3,3.81
Refametinib,OCC(CC1(CC1)S(=O)(=O)Nc1c(OC)cc(c(c1Nc1ccc(cc1F)I)F)F)O,C19H20F3IN2O5S,572.34,31,12,0.37,9,8,4,117.62,116.27,2.9,2.78,5.57,2.64,3.91,3.56,-4.83,0.00842,1.47E-05,Moderately soluble,-4.88,0.00759,1.33E-05,Moderately soluble,-7.12,4.34E-05,7.59E-08,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,Yes,-7.82,1,1,0,0,0,0.55,0,1,2,4.48
